link,id
espn.com/mlb/team/_/name/ari/arizona-diamondbacks,ari
espn.com/mlb/team/_/name/atl/atlanta-braves,atl
espn.com/mlb/team/_/name/bal/baltimore-orioles,bal
espn.com/mlb/team/_/name/bos/boston-red-sox,bos
espn.com/mlb/team/_/name/chc/chicago-cubs,chc
espn.com/mlb/team/_/name/chw/chicago-white-sox,chw
espn.com/mlb/team/_/name/cin/cincinnati-reds,cin
espn.com/mlb/team/_/name/cle/cleveland-guardians,cle
espn.com/mlb/team/_/name/col/colorado-rockies,col
espn.com/mlb/team/_/name/det/detroit-tigers,det
espn.com/mlb/team/_/name/hou/houston-astros,hou
espn.com/mlb/team/_/name/kc/kansas-city-royals,kc
espn.com/mlb/team/_/name/laa/los-angeles-angels,laa
espn.com/mlb/team/_/name/lad/los-angeles-dodgers,lad
espn.com/mlb/team/_/name/mia/miami-marlins,mia
espn.com/mlb/team/_/name/mil/milwaukee-brewers,mil
espn.com/mlb/team/_/name/min/minnesota-twins,min
espn.com/mlb/team/_/name/nym/new-york-mets,nym
espn.com/mlb/team/_/name/nyy/new-york-yankees,nyy
espn.com/mlb/team/_/name/oak/oakland-athletics,oak
espn.com/mlb/team/_/name/phi/philadelphia-phillies,phi
espn.com/mlb/team/_/name/pit/pittsburgh-pirates,pit
espn.com/mlb/team/_/name/sd/san-diego-padres,sd
espn.com/mlb/team/_/name/sea/seattle-mariners,sea
espn.com/mlb/team/_/name/sf/san-francisco-giants,sf
espn.com/mlb/team/_/name/stl/st-louis-cardinals,stl
espn.com/mlb/team/_/name/tb/tampa-bay-rays,tb
espn.com/mlb/team/_/name/tex/texas-rangers,tex
espn.com/mlb/team/_/name/tor/toronto-blue-jays,tor
espn.com/mlb/team/_/name/wsh/washington-nationals,wsh
